Year,Suez,Hergada,Safaga,Quser,Ras Benas
1887,9.60,#N/A,#N/A,#N/A,#N/A
1888,31.00,#N/A,#N/A,#N/A,#N/A
1889,20.00,#N/A,#N/A,#N/A,#N/A
1890,12.20,#N/A,#N/A,#N/A,#N/A
1891,5.00,#N/A,#N/A,#N/A,#N/A
1892,1.00,#N/A,#N/A,#N/A,#N/A
1893,12.00,#N/A,#N/A,#N/A,#N/A
1894,7.00,#N/A,#N/A,#N/A,#N/A
1895,6.00,#N/A,#N/A,#N/A,#N/A
1896,3.10,#N/A,#N/A,#N/A,#N/A
1897,2.00,#N/A,#N/A,#N/A,#N/A
1898,7.00,#N/A,#N/A,#N/A,#N/A
1899,7.00,#N/A,#N/A,#N/A,#N/A
1900,21.00,#N/A,#N/A,#N/A,#N/A
1901,0.00,#N/A,#N/A,#N/A,#N/A
1902,6.00,#N/A,#N/A,#N/A,#N/A
1903,23.50,#N/A,#N/A,#N/A,#N/A
1904,11.00,#N/A,#N/A,#N/A,#N/A
1905,17.00,#N/A,#N/A,#N/A,#N/A
1906,8.00,#N/A,#N/A,#N/A,#N/A
1907,5.00,#N/A,#N/A,#N/A,#N/A
1908,17.00,#N/A,#N/A,#N/A,#N/A
1909,14.00,#N/A,#N/A,#N/A,#N/A
1910,9.50,#N/A,#N/A,#N/A,#N/A
1911,8.00,#N/A,#N/A,#N/A,#N/A
1912,4.40,#N/A,#N/A,#N/A,#N/A
1913,5.50,#N/A,#N/A,#N/A,#N/A
1914,28.00,#N/A,#N/A,#N/A,#N/A
1915,3.00,#N/A,#N/A,#N/A,#N/A
1916,4.00,#N/A,#N/A,#N/A,#N/A
1917,10.20,#N/A,#N/A,#N/A,#N/A
1918,11.10,#N/A,#N/A,#N/A,#N/A
1919,5.60,#N/A,#N/A,#N/A,#N/A
1920,11.50,#N/A,#N/A,#N/A,#N/A
1921,27.50,#N/A,#N/A,#N/A,#N/A
1922,4.10,#N/A,#N/A,#N/A,#N/A
1923,4.00,#N/A,#N/A,#N/A,#N/A
1924,17.00,#N/A,#N/A,#N/A,#N/A
1925,21.20,#N/A,#N/A,#N/A,#N/A
1926,9.50,#N/A,#N/A,#N/A,#N/A
1927,12.00,#N/A,#N/A,#N/A,#N/A
1928,1.00,#N/A,#N/A,#N/A,#N/A
1929,11.00,#N/A,#N/A,6,#N/A
1930,8.00,#N/A,#N/A,15,#N/A
1931,8.50,#N/A,#N/A,#N/A,#N/A
1932,2.00,#N/A,#N/A,#N/A,#N/A
1933,4.00,3,#N/A,#N/A,#N/A
1934,2.00,3,#N/A,34,#N/A
1935,0.50,#N/A,#N/A,1,#N/A
1936,5.30,#N/A,#N/A,#N/A,#N/A
1937,10.30,#N/A,#N/A,4,#N/A
1938,7.60,1,#N/A,#N/A,#N/A
1939,32.30,41,#N/A,2,#N/A
1940,10.70,#N/A,#N/A,3,#N/A
1941,7.50,9,#N/A,1,#N/A
1942,11.40,#N/A,#N/A,#N/A,#N/A
1943,12.00,1,#N/A,#N/A,#N/A
1944,24.20,8,#N/A,0.4,#N/A
1945,12.30,4,#N/A,11,#N/A
1946,5.30,#N/A,#N/A,#N/A,#N/A
1947,2.60,#N/A,#N/A,#N/A,#N/A
1948,0.00,#N/A,#N/A,#N/A,#N/A
1949,0.00,7.3,#N/A,6,#N/A
1950,0.00,#N/A,#N/A,#N/A,#N/A
1951,0.00,#N/A,#N/A,#N/A,#N/A
1952,0.00,#N/A,#N/A,#N/A,#N/A
1953,0.00,#N/A,#N/A,9,#N/A
1954,0.00,24.7,#N/A,#N/A,#N/A
1955,0.00,#N/A,#N/A,#N/A,#N/A
1956,0.00,#N/A,#N/A,#N/A,#N/A
1957,0.00,3,#N/A,1,#N/A
1958,0.00,1,#N/A,#N/A,#N/A
1959,0.00,#N/A,#N/A,4.3,#N/A
1960,0.00,1,#N/A,1,#N/A
1961,0.00,2,#N/A,#N/A,#N/A
1962,0.00,#N/A,#N/A,#N/A,#N/A
1963,0.00,#N/A,#N/A,1,#N/A
1964,0.00,#N/A,#N/A,#N/A,#N/A
1965,49.60,2,#N/A,#N/A,#N/A
1966,0.00,1,#N/A,#N/A,64
1967,0.00,2,#N/A,2,#N/A
1968,2.80,3,#N/A,7,16
1969,2.70,2.7,#N/A,16,0
1970,1.40,#N/A,#N/A,#N/A,3
1971,9.30,2.2,#N/A,#N/A,0
1972,5.20,1.3,#N/A,1.2,0
1973,3.80,0.5,#N/A,1.5,1.9
1974,0.00,2,#N/A,1.8,5.7
1975,0.00,11,#N/A,0.3,3.2
1976,0.00,5.8,#N/A,0.3,68.2
1977,9.20,#N/A,#N/A,0.4,#N/A
1978,4.80,#N/A,#N/A,0.3,#N/A
1979,6.80,6,#N/A,20.6,48
1980,5.20,6,#N/A,2.7,14
1981,6.70,#N/A,#N/A,#N/A,1.5
1982,7.30,1.5,#N/A,0.8,#N/A
1983,6.30,#N/A,#N/A,#N/A,20
1984,9.70,#N/A,#N/A,0.1,4.3
1985,16.30,4.8,#N/A,7,3.2
1986,4.40,#N/A,#N/A,#N/A,0.1
1987,9.70,13,#N/A,10.1,0.1
1988,16.50,6.5,#N/A,#N/A,1.8
1989,0.80,#N/A,#N/A,0.9,#N/A
1990,22.00,15,#N/A,7,#N/A
1991,10.50,5.7,#N/A,7,0.2
1992,5.60,3,#N/A,11,#N/A
1993,0.40,#N/A,#N/A,7.5,25.5
1994,7.70,3,1.3,4.5,14
1995,0.00,1.5,1,4,#N/A
1996,2.60,45,24,22.8,30
1997,8.50,0.9,4.4,22.6,3.2
1998,2.80,#N/A,3.1,2.5,2.8
1999,2.60,0.1,1.8,0.5,0.5
2000,3.80,0.4,0.1,2,#N/A
2001,2.00,#N/A,0.1,#N/A,12
2002,3.40,#N/A,0,#N/A,0
2003,6.00,#N/A,0,#N/A,1.2
2004,4.30,6,0,0.4,0
2005,7.90,#N/A,0,#N/A,0
2006,3.00,#N/A,0.5,6,0.9
2007,0.80,#N/A,0,#N/A,0
2008,1.60,0.1,1,#N/A,4.4
2009,3.90,0.1,0.1,0.9,0
2010,4.00,10,5.5,10.5,3
2011,10.20,0.1,0,#N/A,0
2012,0.10,0.2,0,#N/A,24.6
2013,6.60,1.3,14.5,4.6,2.2
2014,6.20,25.8,1.4,0.2,1.6
2015,18.90,5.2,0.5,1,0
2016,16.00,51.3,0.8,0.6,0
2017,1.00,1.6,0,0,0.8
2018,0.60,2,0,0,12
